date,week,day,snf,playoffs,rest,o:rest,division,o:division,conference,o:conference,team,P1,P2,P3,P4,o:team,o:P1,o:P2,o:P3,o:P4,line,total,1h diff,2h diff,1h total,2h total,div,con,d_rest
20151004,4,Sunday,0,0,9,6,NFC East,NFC East,NFC,NFC,Redskins,6,7,3,7,Eagles,0,0,13,7,3,45,-13,10,13,30,1,1,3
20151004,4,Sunday,1,0,6,6,NFC South,NFC East,NFC,NFC,Saints,7,0,6,7,Cowboys,3,7,3,7,-3,48,3,-3,17,23,0,1,0
20151005,4,Monday,0,0,7,7,NFC West,NFC North,NFC,NFC,Seahawks,0,10,3,0,Lions,0,3,0,7,-9.5,43,-7,4,13,10,0,1,0
20151008,5,Thursday,0,0,3,3,AFC South,AFC South,AFC,AFC,Texans,0,10,7,3,Colts,10,3,7,7,-4.5,42,3,4,23,24,1,1,0
20151011,5,Sunday,0,0,6,5,AFC North,NFC West,AFC,NFC,Bengals,7,0,0,17,Seahawks,7,3,14,0,-3,44,3,-3,17,31,0,0,1
20151011,5,Sunday,0,0,6,6,NFC South,AFC South,NFC,AFC,Buccaneers,3,17,11,7,Jaguars,0,14,10,7,-2,42,-6,-1,34,35,0,0,0
20151011,5,Sunday,0,0,6,6,AFC West,NFC North,AFC,NFC,Chiefs,7,10,0,0,Bears,3,0,3,12,-9,44.5,-14,15,20,15,0,0,0
20151011,5,Sunday,0,0,6,13,NFC East,AFC East,NFC,AFC,Cowboys,3,0,3,0,Patriots,3,10,7,10,9,50.5,10,14,16,20,0,0,-7
20151011,5,Sunday,0,0,6,6,NFC East,NFC South,NFC,NFC,Eagles,0,10,16,13,Saints,7,0,3,7,-6,49.5,-3,-19,17,39,0,1,0
20151011,5,Sunday,0,0,6,6,NFC South,NFC East,NFC,NFC,Falcons,0,3,3,13,Redskins,0,7,0,12,-7,48,4,-4,10,28,0,1,0
20151011,5,Sunday,1,0,6,6,NFC East,NFC West,NFC,NFC,Giants,3,10,7,10,Fortyniners,3,3,7,14,-7,43.5,-7,4,19,38,0,1,0
